City,Category,Business,Demand,Competition,Investment
Ranchi,Food,Cafe,76,68,1700000
Delhi,Food,Bakery,50,40,1000000
Amritsar,Healthcare,Diagnostic Center,54,57,700000
Faridabad,Healthcare,Clinic,86,29,1400000
Indore,Healthcare,Pharmacy,58,65,500000
Hubli,Healthcare,Pharmacy,50,68,4400000
Vasai,Fitness,Dance Studio,57,58,3000000
Ghaziabad,Education,Coaching Institute,52,78,1600000
Gwalior,Fitness,Gym,79,49,2100000
Hyderabad,Tourism,Tour Guide Service,64,56,2500000
Varanasi,Retail,Bookstore,88,57,3800000
Nagpur,Tech,Software Startup,79,34,3100000
Bangalore,Tech,Mobile Repair,87,52,2800000
Guwahati,Education,Online Course,91,70,2100000
Solapur,Fitness,Yoga Studio,66,29,2100000
Pune,Healthcare,Pharmacy,55,72,600000
Kanpur,Retail,Bookstore,97,30,2700000
Hyderabad,Tourism,Tour Guide Service,65,27,800000
Chennai,Food,Bakery,81,22,3100000
Aurangabad,Tech,Mobile Repair,100,38,2500000
Ahmedabad,Fitness,Yoga Studio,71,40,1000000
Hyderabad,Food,Restaurant,75,65,3800000
Hyderabad,Tech,Mobile Repair,76,28,3000000
Jabalpur,Food,Cafe,96,75,3400000
Ahmedabad,Healthcare,Clinic,75,55,500000
Bangalore,Retail,Clothing Boutique,64,66,2600000
Kolkata,Fitness,Dance Studio,63,43,600000
Ranchi,Education,Online Course,100,26,700000
Kota,Education,Online Course,96,79,4900000
Madurai,Education,Online Course,100,34,2900000
Allahabad,Fitness,Yoga Studio,88,76,2100000
Kolkata,Tech,Software Startup,93,44,2100000
Nagpur,Food,Restaurant,59,22,4500000
Ghaziabad,Tourism,Tour Guide Service,71,53,1200000
Rajkot,Fitness,Dance Studio,91,60,4100000
Nagpur,Tech,Software Startup,94,25,4100000
Chandigarh,Healthcare,Pharmacy,70,25,1000000
Pune,Fitness,Yoga Studio,60,49,3500000
Delhi,Food,Bakery,52,70,3500000
Bhopal,Fitness,Dance Studio,55,21,2400000
Tiruchirappalli,Fitness,Dance Studio,55,73,3400000
Ahmedabad,Retail,Grocery Store,51,34,1500000
Meerut,Retail,Clothing Boutique,93,24,1000000
Hubli,Fitness,Dance Studio,69,52,2400000
Pune,Tourism,Travel Agency,75,33,4200000
Rajkot,Retail,Bookstore,85,32,4700000
Rajkot,Education,Coaching Institute,59,24,2700000
Faridabad,Tech,Mobile Repair,89,21,2400000
Pune,Healthcare,Clinic,66,28,1500000
Vadodara,Education,Online Course,84,49,3500000
Chandigarh,Education,Coaching Institute,63,72,1500000
Solapur,Fitness,Dance Studio,84,20,4400000
Navi Mumbai,Fitness,Gym,57,30,4500000
Ranchi,Fitness,Yoga Studio,84,40,4100000
Gwalior,Retail,Grocery Store,75,23,2900000
Raipur,Food,Cafe,89,27,4300000
Navi Mumbai,Retail,Clothing Boutique,87,52,2700000
Visakhapatnam,Food,Cloud Kitchen,66,52,600000
Nashik,Retail,Bookstore,100,25,1000000
Kanpur,Retail,Grocery Store,64,66,3300000
Ghaziabad,Education,Online Course,76,55,3300000
Ahmedabad,Food,Cloud Kitchen,86,46,3700000
Mumbai,Education,Coaching Institute,59,24,1400000
Nagpur,Education,Tuition Center,80,66,4000000
Patna,Fitness,Dance Studio,78,27,900000
Ghaziabad,Fitness,Gym,51,46,3500000
Kalyan,Fitness,Yoga Studio,92,46,900000
Vijayawada,Education,Coaching Institute,89,57,1000000
Thane,Tourism,Guest House,95,62,1600000
Guwahati,Education,Coaching Institute,74,52,4400000
Madurai,Fitness,Gym,86,27,4600000
Howrah,Tourism,Guest House,58,73,3300000
Bangalore,Food,Cafe,60,42,500000
Bangalore,Healthcare,Pharmacy,95,55,2700000
Chandigarh,Tourism,Guest House,100,59,1900000
Thane,Food,Cloud Kitchen,58,29,3000000
Kanpur,Tourism,Travel Agency,75,30,4200000
Nagpur,Tech,Electronics Store,83,46,2100000
Rajkot,Retail,Bookstore,100,73,2800000
Meerut,Fitness,Yoga Studio,73,52,3300000
Rajkot,Education,Coaching Institute,77,69,2500000
Ludhiana,Food,Restaurant,90,68,2400000
Bhopal,Fitness,Dance Studio,89,68,1100000
Kalyan,Healthcare,Pharmacy,72,70,2300000
Nagpur,Education,Tuition Center,98,64,3300000
Vadodara,Retail,Grocery Store,50,33,600000
Nashik,Food,Cafe,79,57,800000
Chennai,Healthcare,Diagnostic Center,88,22,3600000
Jaipur,Retail,Grocery Store,83,79,3700000
Mumbai,Fitness,Yoga Studio,56,48,1200000
Mumbai,Tourism,Tour Guide Service,73,42,1200000
Bangalore,Tourism,Travel Agency,52,70,3700000
Faridabad,Tech,Electronics Store,81,43,1800000
Kalyan,Education,Online Course,65,23,4100000
Hyderabad,Education,Online Course,97,37,1100000
Varanasi,Food,Bakery,70,38,2300000
Rajkot,Fitness,Yoga Studio,51,20,900000
Nagpur,Tech,Electronics Store,51,22,2700000
Mumbai,Fitness,Gym,86,57,3400000
Nagpur,Healthcare,Diagnostic Center,71,63,2800000
Bangalore,Education,Online Course,95,42,3600000
Bhopal,Retail,Clothing Boutique,63,28,4400000
Amritsar,Food,Bakery,58,73,2600000
Vijayawada,Fitness,Yoga Studio,78,64,3800000
Jaipur,Retail,Grocery Store,67,40,4600000
Meerut,Education,Coaching Institute,66,56,2900000
Ghaziabad,Fitness,Dance Studio,91,41,2500000
Pune,Tourism,Guest House,76,59,3800000
Kalyan,Food,Cloud Kitchen,56,29,4900000
Vijayawada,Healthcare,Pharmacy,95,21,4700000
Chennai,Healthcare,Diagnostic Center,75,48,2500000
Vijayawada,Retail,Clothing Boutique,88,59,3900000
Solapur,Tourism,Tour Guide Service,73,73,2600000
Allahabad,Food,Cafe,85,66,2400000
Ahmedabad,Fitness,Dance Studio,66,78,4900000
Ahmedabad,Food,Cafe,51,72,1300000
Delhi,Food,Cloud Kitchen,74,80,4700000
Kalyan,Food,Bakery,84,22,4100000
Mumbai,Retail,Grocery Store,87,53,1600000
Nagpur,Fitness,Dance Studio,98,80,2100000
Solapur,Tourism,Travel Agency,96,31,2000000
Madurai,Tourism,Travel Agency,66,42,4100000
Amritsar,Education,Tuition Center,67,44,1600000
Kolkata,Tech,Mobile Repair,94,45,3600000
Amritsar,Tourism,Travel Agency,72,45,2500000
Vadodara,Tourism,Guest House,64,72,1100000
Lucknow,Tech,Electronics Store,72,48,2200000
Allahabad,Fitness,Dance Studio,84,37,4600000
Srinagar,Education,Online Course,73,54,4800000
Hyderabad,Tech,Electronics Store,86,62,4400000
Visakhapatnam,Tourism,Tour Guide Service,64,75,800000
Coimbatore,Food,Cloud Kitchen,67,52,2000000
Bhopal,Fitness,Yoga Studio,51,74,3900000
Madurai,Education,Online Course,62,32,2200000
Solapur,Retail,Bookstore,88,65,3300000
Howrah,Healthcare,Pharmacy,93,76,2000000
Raipur,Tourism,Travel Agency,59,49,2900000
Kanpur,Fitness,Gym,50,49,700000
Patna,Education,Coaching Institute,53,37,4100000
Delhi,Food,Cloud Kitchen,95,34,1300000
Bangalore,Food,Restaurant,53,31,4100000
Coimbatore,Retail,Grocery Store,88,75,5000000
Kalyan,Education,Tuition Center,83,44,1100000
Mysore,Retail,Clothing Boutique,100,64,5000000
Kolkata,Tech,Mobile Repair,75,60,700000
Vijayawada,Healthcare,Clinic,96,42,1300000
Chandigarh,Tech,Mobile Repair,91,54,2200000
Amritsar,Retail,Bookstore,87,32,2900000
Rajkot,Education,Tuition Center,83,30,4500000
Thane,Retail,Clothing Boutique,58,22,2900000
Jodhpur,Tech,Mobile Repair,64,59,2900000
Faridabad,Retail,Grocery Store,73,79,1900000
Mumbai,Retail,Clothing Boutique,97,45,2200000
Bangalore,Fitness,Gym,77,24,1700000
Jodhpur,Healthcare,Pharmacy,78,70,700000
Nagpur,Tech,Electronics Store,62,64,3700000
Raipur,Retail,Clothing Boutique,97,60,1700000
Vijayawada,Food,Cloud Kitchen,91,55,3100000
Ranchi,Tourism,Travel Agency,92,64,3500000
Vijayawada,Tech,Electronics Store,79,58,3500000
Mumbai,Tech,Software Startup,62,48,1600000
Mumbai,Healthcare,Pharmacy,76,68,4500000
Varanasi,Tourism,Guest House,73,64,3900000
Hyderabad,Retail,Grocery Store,56,29,4500000
Hubli,Tourism,Tour Guide Service,79,56,3300000
Coimbatore,Fitness,Yoga Studio,53,46,2100000
Howrah,Food,Cafe,50,41,3000000
Delhi,Tech,Software Startup,63,66,3300000
Visakhapatnam,Retail,Bookstore,61,26,3300000
Mumbai,Education,Online Course,64,51,1500000
Dhanbad,Tech,Software Startup,95,53,3300000
Solapur,Retail,Clothing Boutique,90,58,1900000
Jabalpur,Healthcare,Diagnostic Center,81,21,1800000
Kolkata,Retail,Bookstore,52,36,4800000
Mumbai,Healthcare,Clinic,96,35,4100000
Varanasi,Education,Online Course,54,22,500000
Kanpur,Education,Online Course,83,80,3900000
Mumbai,Food,Restaurant,61,37,1900000
Vadodara,Retail,Grocery Store,74,36,3300000
Howrah,Tourism,Tour Guide Service,95,69,1100000
Vasai,Fitness,Gym,73,79,700000
Chennai,Tourism,Travel Agency,79,33,1100000
Hyderabad,Fitness,Gym,87,67,2600000
Rajkot,Healthcare,Pharmacy,73,27,1500000
Mysore,Food,Restaurant,70,37,3400000
Thane,Education,Online Course,80,57,3600000
Srinagar,Food,Cloud Kitchen,87,60,1200000
Navi Mumbai,Retail,Clothing Boutique,66,31,5000000
Hyderabad,Education,Coaching Institute,77,39,3700000
Faridabad,Tech,Mobile Repair,51,52,3700000
Raipur,Education,Tuition Center,62,71,3000000
Thane,Tech,Software Startup,88,45,5000000
Amritsar,Tourism,Guest House,91,74,4800000
Bangalore,Retail,Clothing Boutique,52,78,1000000
Rajkot,Food,Bakery,80,51,4500000
Navi Mumbai,Tech,Software Startup,69,66,1100000
Aurangabad,Fitness,Yoga Studio,71,45,700000
Delhi,Fitness,Yoga Studio,63,30,2200000
Delhi,Tourism,Travel Agency,74,64,2300000
Tiruchirappalli,Fitness,Gym,57,48,3600000
Ghaziabad,Tech,Software Startup,67,38,2600000
Kanpur,Food,Bakery,52,47,1400000
Thane,Healthcare,Clinic,64,52,1100000
Patna,Education,Tuition Center,80,77,2800000
Bhopal,Fitness,Yoga Studio,69,79,2800000
Nashik,Retail,Clothing Boutique,85,77,3800000
Ghaziabad,Tech,Electronics Store,83,55,1000000
Srinagar,Retail,Bookstore,61,22,4900000
Patna,Healthcare,Diagnostic Center,82,54,3000000
Navi Mumbai,Education,Online Course,91,63,1800000
Tiruchirappalli,Tourism,Travel Agency,54,57,4900000
Visakhapatnam,Education,Tuition Center,96,33,4300000
Nagpur,Tech,Electronics Store,55,36,2900000
Tiruchirappalli,Tech,Electronics Store,86,24,500000
Howrah,Fitness,Gym,72,66,3500000
Kolkata,Retail,Grocery Store,63,35,1400000
Visakhapatnam,Fitness,Yoga Studio,90,20,900000
Pune,Retail,Clothing Boutique,69,47,4700000
Allahabad,Healthcare,Clinic,98,68,4800000
Visakhapatnam,Tourism,Tour Guide Service,55,63,2400000
Pune,Tech,Mobile Repair,86,39,3000000
Mumbai,Tourism,Tour Guide Service,55,56,900000
Bangalore,Retail,Grocery Store,61,61,2400000
Mysore,Retail,Bookstore,83,44,3300000
Madurai,Tourism,Tour Guide Service,92,69,2700000
Aurangabad,Fitness,Dance Studio,94,71,2000000
Solapur,Fitness,Dance Studio,57,69,2500000
Bangalore,Healthcare,Pharmacy,54,66,2600000
Pune,Food,Bakery,75,62,1400000
Mumbai,Tech,Mobile Repair,75,27,4400000
Howrah,Retail,Clothing Boutique,95,23,3700000
Kalyan,Tourism,Guest House,97,24,4500000
Bangalore,Fitness,Yoga Studio,99,25,1300000
Madurai,Food,Restaurant,62,28,1700000
Jaipur,Retail,Grocery Store,87,65,800000
Aurangabad,Education,Coaching Institute,67,32,4500000
Lucknow,Healthcare,Diagnostic Center,50,43,1100000
Mumbai,Tourism,Travel Agency,61,77,1100000
Faridabad,Retail,Clothing Boutique,74,52,3600000
Indore,Fitness,Yoga Studio,75,30,3900000
Ahmedabad,Education,Coaching Institute,51,65,1300000
Indore,Tech,Software Startup,55,47,3300000
Kanpur,Fitness,Gym,83,67,4100000
Pune,Fitness,Dance Studio,92,67,2700000
Gwalior,Tech,Electronics Store,92,64,2500000
Chennai,Tourism,Tour Guide Service,64,44,4000000
Chandigarh,Tourism,Travel Agency,62,41,2300000
Bangalore,Healthcare,Clinic,95,46,3300000
Jabalpur,Retail,Grocery Store,85,49,2200000
Thane,Healthcare,Pharmacy,74,49,1500000
Hyderabad,Fitness,Yoga Studio,88,32,3500000
Navi Mumbai,Food,Cafe,91,75,4000000
Bhopal,Education,Online Course,50,63,4900000
Varanasi,Retail,Clothing Boutique,71,73,2500000
Raipur,Food,Cafe,58,34,1400000
Chennai,Food,Cloud Kitchen,91,27,2800000
Nagpur,Tech,Electronics Store,86,23,2800000
Gwalior,Fitness,Dance Studio,59,44,2200000
Howrah,Tech,Mobile Repair,99,24,3900000
Madurai,Food,Bakery,70,36,2600000
Mumbai,Tourism,Tour Guide Service,77,26,3600000
Varanasi,Food,Cafe,62,80,2900000
Mysore,Retail,Bookstore,70,37,700000
Visakhapatnam,Healthcare,Diagnostic Center,90,68,1500000
Mysore,Fitness,Yoga Studio,68,23,3000000
Kanpur,Tourism,Travel Agency,95,55,4400000
Srinagar,Fitness,Dance Studio,58,27,3700000
Kolkata,Food,Bakery,53,32,600000
Aurangabad,Fitness,Dance Studio,81,40,1200000
Raipur,Tech,Electronics Store,93,80,700000
Chennai,Tech,Electronics Store,93,21,4200000
Faridabad,Tech,Electronics Store,79,71,1200000
Rajkot,Tech,Mobile Repair,62,48,3500000
Ranchi,Tourism,Guest House,79,76,2000000
Mumbai,Fitness,Dance Studio,65,49,4900000
Hyderabad,Retail,Grocery Store,54,39,4400000
Howrah,Food,Cloud Kitchen,79,40,2400000
Vasai,Tech,Electronics Store,81,52,2000000
Ludhiana,Fitness,Yoga Studio,63,55,3700000
Kolkata,Healthcare,Pharmacy,90,40,600000
Solapur,Food,Cloud Kitchen,60,22,2700000
Solapur,Tech,Electronics Store,55,54,2600000
Ghaziabad,Education,Tuition Center,91,31,4600000
Nashik,Healthcare,Diagnostic Center,79,43,4600000
Madurai,Education,Online Course,65,26,1800000
Bangalore,Healthcare,Diagnostic Center,51,46,600000
Kolkata,Education,Coaching Institute,59,44,600000
Hyderabad,Education,Tuition Center,85,50,1800000
Hyderabad,Education,Coaching Institute,52,54,4500000
Gwalior,Healthcare,Clinic,83,27,2500000
Mumbai,Food,Bakery,53,64,1600000
Hubli,Fitness,Gym,80,33,2400000
Visakhapatnam,Fitness,Dance Studio,55,51,3300000
Mumbai,Tech,Electronics Store,68,50,900000
Coimbatore,Tech,Mobile Repair,51,30,3500000
Amritsar,Food,Bakery,68,28,3900000
Delhi,Fitness,Yoga Studio,95,70,1100000
Amritsar,Fitness,Gym,53,23,4300000
Kolkata,Healthcare,Diagnostic Center,78,71,4000000
Agra,Tourism,Guest House,86,71,3900000
Indore,Fitness,Yoga Studio,63,26,4100000
Indore,Healthcare,Pharmacy,51,46,2500000
Mumbai,Tourism,Travel Agency,59,42,4300000
Vasai,Healthcare,Clinic,75,69,4900000
Tiruchirappalli,Tech,Mobile Repair,94,51,4000000
Indore,Food,Restaurant,60,40,3000000
Hyderabad,Tech,Software Startup,89,54,4500000
Vasai,Healthcare,Pharmacy,91,40,4600000
Kota,Food,Restaurant,66,75,1300000
Solapur,Tech,Mobile Repair,82,29,4400000
Patna,Retail,Bookstore,83,27,2600000
Varanasi,Tourism,Travel Agency,72,43,4900000
Hyderabad,Fitness,Gym,72,56,1200000
Delhi,Food,Bakery,92,20,4900000
Jabalpur,Retail,Clothing Boutique,54,39,2500000
Indore,Tourism,Guest House,85,30,1900000
Solapur,Retail,Bookstore,92,77,900000
Faridabad,Education,Coaching Institute,87,66,3600000
Ludhiana,Food,Bakery,57,59,2900000
Tiruchirappalli,Tourism,Guest House,52,68,4000000
Vasai,Education,Tuition Center,90,44,1400000
Jabalpur,Fitness,Dance Studio,89,21,1700000
Rajkot,Tourism,Guest House,60,29,1900000
Bangalore,Tech,Electronics Store,58,44,4400000
Visakhapatnam,Fitness,Yoga Studio,74,69,2600000
Jaipur,Fitness,Gym,93,51,5000000
Mumbai,Healthcare,Diagnostic Center,81,49,4300000
Jodhpur,Food,Bakery,67,40,1700000
Kolkata,Education,Coaching Institute,89,65,1100000
Chennai,Retail,Grocery Store,71,62,2900000
Solapur,Healthcare,Clinic,67,21,3300000
Dhanbad,Fitness,Dance Studio,99,50,1900000
Ludhiana,Fitness,Gym,71,62,4100000
Rajkot,Retail,Bookstore,68,42,3300000
Bangalore,Fitness,Dance Studio,74,56,1200000
Patna,Food,Restaurant,54,22,500000
Jaipur,Retail,Grocery Store,83,62,2900000
Faridabad,Education,Online Course,76,46,600000
Nagpur,Healthcare,Clinic,85,41,4600000
Ranchi,Education,Tuition Center,63,33,3800000
Ranchi,Fitness,Dance Studio,65,70,3500000
Lucknow,Retail,Clothing Boutique,53,66,800000
Navi Mumbai,Education,Online Course,75,56,4200000
Bhopal,Tourism,Travel Agency,59,57,5000000
Nagpur,Food,Cloud Kitchen,69,36,1100000
Vadodara,Education,Online Course,73,56,2000000
Kolkata,Fitness,Yoga Studio,73,53,3400000
Jabalpur,Tourism,Tour Guide Service,98,65,2300000
Delhi,Healthcare,Pharmacy,87,72,3500000
Gwalior,Retail,Clothing Boutique,85,49,3700000
Bangalore,Fitness,Gym,77,78,1500000
Allahabad,Education,Tuition Center,82,36,1000000
Varanasi,Tourism,Tour Guide Service,64,25,1800000
Ranchi,Tourism,Travel Agency,75,35,900000
Chennai,Healthcare,Pharmacy,99,22,1700000
Amritsar,Education,Coaching Institute,94,25,2100000
Chandigarh,Retail,Clothing Boutique,68,61,3900000
Visakhapatnam,Retail,Clothing Boutique,78,56,2400000
Jabalpur,Tech,Mobile Repair,85,25,3000000
Bangalore,Tourism,Tour Guide Service,99,54,500000
Coimbatore,Fitness,Yoga Studio,90,73,5000000
Kalyan,Fitness,Gym,80,39,2800000
Vadodara,Healthcare,Pharmacy,73,63,4600000
Jaipur,Fitness,Dance Studio,84,74,3200000
Coimbatore,Tech,Software Startup,80,61,2900000
Howrah,Fitness,Gym,94,55,4700000
Delhi,Tech,Electronics Store,70,23,3700000
Howrah,Education,Online Course,64,37,3600000
Aurangabad,Fitness,Dance Studio,97,26,2500000
Delhi,Fitness,Yoga Studio,86,77,2500000
Pune,Retail,Bookstore,75,56,2800000
Kanpur,Retail,Clothing Boutique,70,31,4500000
Mumbai,Healthcare,Diagnostic Center,91,76,1100000
Dhanbad,Food,Cloud Kitchen,73,80,3800000
Thane,Retail,Clothing Boutique,88,41,2100000
Vasai,Education,Coaching Institute,83,20,1400000
Ahmedabad,Tech,Software Startup,97,76,600000
Bangalore,Retail,Clothing Boutique,88,41,1600000
Delhi,Education,Online Course,59,54,3600000
Pune,Fitness,Yoga Studio,53,65,2600000
Mumbai,Healthcare,Diagnostic Center,71,71,3200000
Pune,Healthcare,Clinic,89,77,3200000
Howrah,Tourism,Guest House,74,75,700000
Guwahati,Food,Cafe,84,25,4300000
Srinagar,Food,Bakery,99,62,2300000
Visakhapatnam,Retail,Grocery Store,57,43,3200000
Ranchi,Healthcare,Clinic,57,74,1300000
Thane,Education,Coaching Institute,91,79,2400000
Faridabad,Tech,Electronics Store,65,22,4900000
Guwahati,Tech,Electronics Store,89,57,3700000
Kalyan,Tourism,Travel Agency,81,79,4700000
Lucknow,Education,Coaching Institute,95,73,2300000
Raipur,Fitness,Dance Studio,95,74,2000000
Mysore,Healthcare,Diagnostic Center,70,49,1700000
Kanpur,Fitness,Yoga Studio,80,78,3100000
Dhanbad,Retail,Clothing Boutique,53,44,2400000
Kota,Education,Coaching Institute,54,54,3200000
Madurai,Fitness,Yoga Studio,99,25,2300000
Ranchi,Food,Bakery,51,66,4800000
Patna,Healthcare,Pharmacy,71,22,1600000
Kanpur,Tech,Mobile Repair,77,75,3000000
Bangalore,Healthcare,Diagnostic Center,83,60,2200000
Ranchi,Food,Bakery,97,41,2100000
Jodhpur,Retail,Grocery Store,64,46,3900000
Mumbai,Healthcare,Pharmacy,51,54,4400000
Mumbai,Tourism,Tour Guide Service,55,28,2400000
Kolkata,Tourism,Tour Guide Service,52,23,2900000
Kolkata,Tourism,Tour Guide Service,70,54,5000000
Ranchi,Fitness,Gym,88,28,3900000
Delhi,Tourism,Guest House,100,52,1000000
Aurangabad,Tourism,Tour Guide Service,76,53,5000000
Patna,Fitness,Gym,57,54,2300000
Tiruchirappalli,Education,Online Course,69,68,2900000
Bhopal,Education,Coaching Institute,87,42,2600000
Madurai,Retail,Grocery Store,100,22,4600000
Amritsar,Fitness,Gym,56,33,1300000
Lucknow,Tourism,Travel Agency,68,66,1800000
Kolkata,Healthcare,Clinic,85,59,2100000
Pune,Food,Restaurant,74,33,1500000
Delhi,Food,Bakery,63,49,4500000
Delhi,Fitness,Yoga Studio,90,80,5000000
Kanpur,Tourism,Tour Guide Service,65,48,3400000
Visakhapatnam,Retail,Grocery Store,99,40,2500000
Delhi,Fitness,Gym,52,63,3700000
Allahabad,Food,Cloud Kitchen,58,23,3900000
Vijayawada,Food,Restaurant,94,42,4400000
Lucknow,Fitness,Yoga Studio,96,34,4500000
Kanpur,Fitness,Gym,71,59,2500000
Varanasi,Fitness,Gym,78,70,800000
